respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.1693761,0.36696112
26708,0.08469126,0.041019347
26709,0.3474913,0.82262206
26710,0.7908884,0.9179589
26711,0.3670457,0.5127128
26712,0.92676914,0.98803014
26713,0.38863316,0.7728382
26714,0.25407845,0.20389694
26715,0.032354675,0.1287847
26716,0.33260688,0.95479006
26717,0.018933149,0.5219123
26718,0.53955895,0.7431152
26719,0.13839176,0.96635866
26720,0.02256926,0.30627587
26721,0.57017887,0.50370675
26722,0.17216073,0.15561284
26723,0.8647696,0.9644179
26724,0.031313445,0.846134
26725,0.0074921525,0.06712339
26726,0.12272222,0.08643952
26727,0.680054,0.95503235
26728,0.3425586,0.7705736
26729,0.4424125,0.863228
26730,0.0866259,0.22939023
26731,0.03797182,0.3688308
26732,0.15076923,0.19439913
26733,0.98353356,0.98597056
26734,0.83633333,0.5539753
26735,0.12196389,0.49383888
26736,0.08310586,0.21919023
26737,0.08430284,0.112326145
26738,0.89152837,0.9446202
26739,0.21127212,0.34562618
26740,0.22781828,0.13931113
26741,0.080770604,0.93626577
26742,0.15339781,0.4743833
26743,0.07285121,0.6684091
26744,0.084109716,0.8177548
26745,0.04961017,0.9353887
26746,0.2629517,0.5268551
26747,0.095876455,0.20509109
26748,0.107984416,0.0879504
26749,0.16529812,0.80605143
26750,0.59033686,0.89918274
26751,0.651424,0.8875346
26752,0.163492,0.1388081
26753,0.39174923,0.7701793
26754,0.22874115,0.68950754
26755,0.14946418,0.55689085
26756,0.028024485,0.042657375
26757,0.30271795,0.6562566
26758,0.81510425,0.9195301
26759,0.028524555,0.23467928
26760,0.05314705,0.09743132
26761,0.6260804,0.86142117
26762,0.2632456,0.9149264
26763,0.94295,0.98123497
26764,0.98734725,0.9887783
26765,0.07957969,0.82433623
26766,0.15042733,0.25186196
26767,0.9551492,0.8633967
26768,0.048430078,0.5569529
26769,0.0903292,0.21503724
26770,0.03874448,0.5933026
26771,0.027701564,0.18829826
26772,0.08580564,0.5952055
26773,0.030701885,0.29266873
26774,0.03574483,0.4324382
26775,0.032985985,0.6252403
26776,0.43082282,0.49765718
26777,0.12864216,0.96817297
26778,0.14390896,0.058582805
26779,0.33497977,0.7004559
26780,0.07141148,0.9542026
26781,0.07653008,0.4735909
26782,0.09445867,0.4196812
26783,0.032200206,0.3440458
26784,0.12026315,0.88819826
26785,0.6868753,0.80242544
26786,0.049541943,0.31528962
26787,0.09861099,0.68957394
26788,0.03231701,0.9249245
26789,0.016270317,0.2520143
26790,0.027386064,0.32682213
26791,0.10224561,0.14689028
26792,0.068306044,0.84664744
26793,0.20204064,0.97072315
26794,0.76773167,0.91040605
26795,0.12170454,0.9870581
26796,0.031531867,0.046093903
26797,0.2294593,0.85174495
26798,0.29199088,0.3164767
26799,0.38307133,0.4964548
26800,0.0679766,0.98348075
26801,0.3484981,0.48735785
26802,0.15685843,0.24231808
26803,0.047343533,0.23824915
26804,0.06267552,0.102935165
26805,0.09295017,0.17200129
26806,0.02173347,0.9678067
26807,0.50673413,0.91779786
26808,0.053870276,0.5699572
26809,0.75969243,0.2311228
26810,0.047299776,0.15226826
26811,0.020033058,0.07287656
26812,0.465972,0.9371523
26813,0.64988565,0.5083594
26814,0.025818562,0.79871815
26815,0.014791536,0.052023925
26816,0.10216256,0.17716181
26817,0.027587501,0.663088
26818,0.19416657,0.42031264
26819,0.2675103,0.2851556
26820,0.15054356,0.22506942
26821,0.045896094,0.7863417
26822,0.094758675,0.8394775
26823,0.26312083,0.45657724
26824,0.030760169,0.8381609
26825,0.62526816,0.78062564
26826,0.06404492,0.74516577
26827,0.030159494,0.12110504
26828,0.12486122,0.62329835
26829,0.93069065,0.96216893
26830,0.023064775,0.87340593
26831,0.2553296,0.940944
26832,0.027929792,0.8386545
26833,0.026209958,0.65665853
26834,0.28530434,0.6186193
26835,0.45825255,0.93146574
26836,0.39572722,0.7950784
26837,0.14942795,0.035115186
26838,0.21681206,0.6674613
26839,0.12291695,0.6096643
26840,0.16271456,0.19414914
26841,0.7484811,0.90428305
26842,0.1311879,0.21361883
26843,0.09446977,0.07571288
26844,0.08297755,0.46959355
26845,0.044703733,0.87024295
26846,0.071451746,0.92054456
26847,0.55262387,0.1828061
26848,0.026720138,0.79786485
26849,0.5057543,0.7339555
26850,0.8044742,0.7037566
26851,0.04447653,0.07883484
26852,0.056446515,0.088053316
26853,0.38955203,0.5950614
26854,0.02037472,0.105477616
26855,0.41884,0.92134404
26856,0.07034081,0.044311352
26857,0.7686,0.26275295
26858,0.105319895,0.72581756
26859,0.038839318,0.10374628
26860,0.1827752,0.15137596
26861,0.080540285,0.13807584
26862,0.03457656,0.28199232
26863,0.079018176,0.56822807
26864,0.42929992,0.42493424
26865,0.032206144,0.052984893
26866,0.068195075,0.6985242
26867,0.3199878,0.30864415
26868,0.94711876,0.96488255
26869,0.040074866,0.24136496
26870,0.8506121,0.94820637
26871,0.023616463,0.045740973
26872,0.07544983,0.35679778
26873,0.08338259,0.82601404
26874,0.07125222,0.14654641
26875,0.39378905,0.9375093
26876,0.14174354,0.088315144
26877,0.1320595,0.13082334
26878,0.18135421,0.31561553
26879,0.011575218,0.05698055
26880,0.14475931,0.1245963
